posting_uid,title,title_clean,role_family,normalized_title,role_rule,source
eures:MTcyNzAyMTcgNDM,Lead Analytics & Business Intelligence (w/m/d),lead analytics & business intelligence,bi,BI Analyst,business intelligence,eures
linkedin:4416517434,BI Projektleiter Finance (m/w/d),bi projektleiter finance,bi,BI Analyst,(?<![\w-])bi(?![\w-])(?!.*(?:engineer|developer|consultant)),linkedin
jobsat:7886577,(Senior) BI Engineer (all genders),senior bi engineer,bi,BI Developer / BI Engineer,\bbi[- ]?(?:developer|entwickler|engineer|specialist|spezialist|expert|experte|architect|architekt),jobsat
linkedin:4453591727,(Senior) Reporting Specialist,senior reporting specialist,bi,BI Developer / BI Engineer,"reporting.{0,10}(?:developer|entwickler|engineer|specialist|spezialist)",linkedin
eures:MTcyMjY1NTYgNDM,Business Intelligence Advisor (w/m/d),business intelligence advisor,bi,BI Analyst,business intelligence,eures
karriere:7860904,IT Data & Reporting Engineer w/m/d,it data & reporting engineer,bi,BI Developer / BI Engineer,"reporting.{0,10}(?:developer|entwickler|engineer|specialist|spezialist)",karriere
eures:MTczMDc5OTMgNDM,Business Intelligence Specialist (m/w/x),business intelligence specialist,bi,BI Developer / BI Engineer,"business intelligence.{0,10}(?:developer|entwickler|engineer|specialist|expert|architect)",eures
linkedin:4457467455,Business Intelligence & Automations Engineer (w/m/d),business intelligence & automations engineer,bi,BI Analyst,business intelligence,linkedin
karriere:7876888,Junior Reporting Analyst (m|f|x),junior reporting analyst,bi,BI Analyst,reporting analy,karriere
willhaben:13244101,AI Engineer / KI-Entwickler (m/w/d),ai engineer / ki entwickler,data_science,Machine Learning / AI Engineer,\bai[- ]?engineer,willhaben
linkedin:4450389256,"(Senior) Forward Deployed AI Scientist, Operations & Optimization, Germany & Austria - BCG X","senior forward deployed ai scientist , operations & optimization , & bcg x",data_science,Data Scientist,\bai scientist,linkedin
karriere:7872727,AI/ML Ops Engineer (m/w/d),ai / ml ops engineer,data_science,Machine Learning / AI Engineer,\bml ops,karriere
linkedin:4459109358,Data & AI Engineer (m/w/d),data & ai engineer,data_science,Machine Learning / AI Engineer,\bai[- ]?engineer,linkedin
linkedin:4464345058,AI / ML Developer - Vienna,ai / ml developer,data_science,Data Scientist,\bml (?:specialist|expert|developer),linkedin
linkedin:4454178789,Senior Data Scientist (m/w/d),senior data scientist,data_science,Data Scientist,data scien,linkedin
linkedin:4406208858,Principal Biostatistician (Immunology) - FSP,principal biostatistician immunology fsp,data_science,Statistician / Biostatistician,statisti(?:ker|ker:in|cian|kerin),linkedin
linkedin:4368606873,Azure AI / ML Engineer (m/w/d),azure ai / ml engineer,data_science,Machine Learning / AI Engineer,\bml[- ]?engineer,linkedin
linkedin:4445181005,Computer Vision Engineer,computer vision engineer,data_science,Machine Learning / AI Engineer,computer vision engineer,linkedin
karriere:10027478,Digital Transformation & AI Expert (w/m/d),digital transformation & ai expert,data_science,Data Scientist,\bai (?:specialist|expert|researcher),karriere
linkedin:4440089234,AI Engineer (f/m/d),ai engineer,data_science,Machine Learning / AI Engineer,\bai[- ]?engineer,linkedin
linkedin:4406211536,Data Scientist (all genders),data scientist,data_science,Data Scientist,data scien,linkedin
eures:MTczMjU3OTcgNDM,Lead Data & AI Engineer (w/m),lead data & ai engineer,data_science,Machine Learning / AI Engineer,\bai[- ]?engineer,eures
eures:MTcyODY2MDYgNDM,AI Engineer (m/w/d),ai engineer,data_science,Machine Learning / AI Engineer,\bai[- ]?engineer,eures
linkedin:4404546868,Senior AI Engineer,senior ai engineer,data_science,Machine Learning / AI Engineer,\bai[- ]?engineer,linkedin
linkedin:4459947554,Data Engineer for Databricks Platform (all humans),data engineer for databricks platform all humans,data_engineering,Data Engineer,data engineer,linkedin
linkedin:4465978988,Data Engineer (w/m/d),data engineer,data_engineering,Data Engineer,data engineer,linkedin
karriere:10027932,(Senior) Data & Analytics Engineer (m/w/d),senior data & analytics engineer,data_engineering,Analytics Engineer,analytics engineer,karriere
linkedin:4461604892,CRM & Marketing Automation Data Engineer (d/w/m),crm & marketing automation data engineer,data_engineering,Data Engineer,data engineer,linkedin
linkedin:4464981555,Senior Data Engineer,senior data engineer,data_engineering,Data Engineer,data engineer,linkedin
linkedin:4464799983,Data Platform Consultant (m/w/d),data platform consultant,data_engineering,Data Architect / Data Platform,data platform,linkedin
linkedin:4459193803,BI- und DWH-Entwickler*in,bi und dwh entwickler,data_engineering,Data Engineer,dwh[- ]?(?:entwickler|developer|engineer),linkedin
